PubID,StreetAddress,Area,TradingName,NumberOfPatrons,Xcoordinate,Ycoordinate
421,56-58 Courtney Street,North Melbourne,The Castle Hotel,317,144.953035,-37.8008985
422,280-292 Collins Street,Melbourne (CBD),The Charles Dickens Tavern,450,144.9645574,-37.81567229
423,5-17 Flemington Road,North Melbourne,The Chifley On Flemington,230,144.9558713,-37.80140031
424,86-90 Errol Street,North Melbourne,The Courthouse Hotel,50,144.9499557,-37.80287733
425,351-359 Queensberry Street,North Melbourne,The Crimean,240,144.9559672,-37.80395618
426,21-25 Croft Alley,Melbourne (CBD),The Croft Institute,250,144.9690881,-37.81206249
427,27-31 Lygon Street,Carlton,The Curtin,350,144.9656988,-37.80619915
428,65-67 Peel Street,West Melbourne (Residential),The Drunken Poet ,50,144.955498,-37.80666721
429,65-67 Peel Street,West Melbourne (Residential),The Drunken Poet Pty Ltd,50,144.955498,-37.80666721
430,94-96 Bourke Street,Melbourne (CBD),The Elephant and Wheelbarrow,450,144.9702485,-37.81191058
431,233-237 Lonsdale Street,Melbourne (CBD),The Emerald Peacock,300,144.9655481,-37.81158031
432,161 Spring Street,Melbourne (CBD),The European,703,144.9724291,-37.8109513
433,120-138 King Street,Melbourne (CBD),The Exchange Hotel,1240,144.9564078,-37.81703156
434,11-37 Exhibition Street,Melbourne (CBD),The Fair Trader ,118,144.9717262,-37.81546152
435,11-37 Exhibition Street,Melbourne (CBD),The Fair Trader Cafe,118,144.9717262,-37.81546152
436,33-39 Little Lonsdale Street,Melbourne (CBD),The Fringe,400,144.9707325,-37.8091842
437,31-39 Elizabeth Street,Melbourne (CBD),The Green Room,225,144.9643316,-37.81741878
438,816 Lorimer Street,Port Melbourne,The Heist Cafe Bar ,60,144.9309535,-37.82210926
439,125-133 Swanston Street,Melbourne (CBD),The Hi -Fi Melbourne,800,144.9658102,-37.81472467
440,125-133 Swanston Street,Melbourne (CBD),The Hi-Fi Melbourne,800,144.9658102,-37.81472467
441,425-427 Little Collins Street,Melbourne (CBD),The Irish Times,170,144.9605354,-37.8162542
442,31-39 Elizabeth Street,Melbourne (CBD),The Joint,329,144.9643316,-37.81741878
443,31-39 Elizabeth Street,Melbourne (CBD),The Joint Bar,329,144.9643316,-37.81741878
444,351-359 Queensberry Street,North Melbourne,The Keeper's Arm,240,144.9559672,-37.80395618
445,117-121 Lonsdale Street,Melbourne (CBD),The Key Club,440,144.9689024,-37.8107614
446,435-443 Little Collins Street,Melbourne (CBD),The Kitchen Restaurant,200,144.9600859,-37.81638558
447,614-616 Elizabeth Street,Carlton,The Last Jar,250,144.9589387,-37.80389369
448,46-50 Leveson Street,North Melbourne,The Leveson,400,144.9514591,-37.80370014
449,277-279 Flinders Lane,Melbourne (CBD),The Liberty Social,400,144.9652979,-37.81724201
450,162-168 Collins Street,Melbourne (CBD),The Long Room,620,144.9678476,-37.81450301
451,243-249 Swanston Street,Melbourne (CBD),The Lounge,212,144.9647365,-37.81230108
452,122-148 Harbour Esplanade,Docklands,The Medallion Club,5000,144.9475776,-37.81656591
453,315-321 Elizabeth Street,Melbourne (CBD),The Meeting Place,250,144.9614724,-37.81124935
454,391-393 Little Lonsdale Street,Melbourne (CBD),The Melbourne Room,175,144.9603411,-37.81187439
455,27 Windsor Place,Melbourne (CBD),The Melbourne RSL,240,144.9724924,-37.81194657
456,597-603 Lonsdale Street,Melbourne (CBD),The Men's Gallery,675,144.9544951,-37.81491898
457,143-151 Therry Street,Melbourne (CBD),The Mercant Cross Hotel,1081,144.9583711,-37.80792152
458,143-151 Therry Street,Melbourne (CBD),The Mercant Cross Hotel / Fancy Hanks Bar-B-Que,1081,144.9583711,-37.80792152
459,67-73 Hardware Lane,Melbourne (CBD),The Mill,119,144.960908,-37.81323451
460,277-279 Flinders Lane,Melbourne (CBD),The Mill House Bar,400,144.9652979,-37.81724201
461,430-442 Collins Street,Melbourne (CBD),The Mug House,80,144.9597623,-37.81703239
462,24-42 Newquay Promenade,Docklands,The Newquay Hotel,321,144.942139,-37.81434525
463,277-279 Flinders Lane,Melbourne (CBD),The Night Cat City ,400,144.9652979,-37.81724201
464,747-757 Bourke Street,Docklands,The Nixon Hotel,300,144.9479753,-37.81925128
465,747-757 Bourke Street,Docklands,The Nixon Hotel Pty Ltd ,300,144.9479753,-37.81925128
466,175-191 Dryburgh Street,North Melbourne,The Oasis Oz Hotel ,390,144.9433563,-37.80205261
467,401-405 Swanston Street,Melbourne (CBD),The Order of Melbourne,420,144.963217,-37.80904283
468,333-351 Exhibition Street,Melbourne (CBD),The Owl & The Pussycat ,100,144.9680267,-37.8078604
469,427-433 Swanston Street,Melbourne (CBD),The Oxford Scholar Hotel,486,144.962901,-37.80846658
470,4-6 Goldie Place,Melbourne (CBD),The Paris Cat ,120,144.9608287,-37.81351769
471,46-74 Flinders Street,Melbourne (CBD),The Press Club Restuarant & Bar Pty Ltd,90,144.9727209,-37.81546181
472,8 Whiteman Street,Southbank,The Pub At Crown,300,144.9586604,-37.82312164
473,232-238 Victoria Street,North Melbourne,The Public Bar,180,144.9585875,-37.80593327
474,232-238 Victoria Street,North Melbourne,The Public Bar Hotel,180,144.9585875,-37.80593327
475,265-271 Racecourse Road,Kensington,The Quiet Man Irish Pub,400,144.9323559,-37.78860982
476,134-160 Spencer Street,Melbourne (CBD),The Savoy Tavern,594,144.953752,-37.81738969
